Indicators,sub indicators,NFHS-5 (2019-20),STATE/UT
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),(0.4),Sikkim
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),(3.2),Sikkim
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),27.3,Telangana
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,Telangana
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.1,Telangana
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),14.0,Tripura
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.1,Tripura
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.5,Tripura
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.9,West Bengal
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.3,West Bengal
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),6.7,West Bengal
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),24.2,India
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,India
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.1,India
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),18.5,Arunachal Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.1,Arunachal Pradesh
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.1,Arunachal Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),14.0,Chhattisgarh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.2,Chhattisgarh
