S.No.,indicator code,Indicators,sub indicators,NFHS-5 (2019-20),Unnamed: 5,Unnamed: 6,NFHS-4 2015-16,STATE/UT
1829.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,4.0,3.3,2.9,Maharashtra
1830.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),4.5,7.6,6.2,2.9,Maharashtra
1831.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),6.6,14.7,10.9,na,Maharashtra
1832.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),26.2,40.6,33.8,na,Maharashtra
1833.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.5,0.4,na,Maharashtra
1834.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),13.0,14.7,13.9,na,Maharashtra
1935.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,10.3,9.3,9.5,na,Meghalaya
1938.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,16.0,13.4,13.9,na,Meghalaya
1941.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,24.6,17.1,18.7,na,Meghalaya
1944.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,28.5,19.9,21.4,na,Meghalaya
1959.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),23.2,14.2,16.0,28.8,Meghalaya
1960.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,1.4,1.6,0.4,Meghalaya
1961.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),7.9,6.4,6.7,5.1,Meghalaya
1962.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),27.2,28.5,28.2,na,Meghalaya
1963.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),47.0,60.6,57.7,na,Meghalaya
1964.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),1.0,1.6,1.5,na,Meghalaya
1965.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),28.5,33.5,32.4,na,Meghalaya
2066.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,16.0,12.1,13.6,na,Manipur
2069.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,19.2,14.7,16.5,na,Manipur
2072.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,26.0,21.1,23.0,na,Manipur
2075.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,37.5,30.4,33.2,na,Manipur
2090.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),35.0,42.8,39.6,53.2,Manipur
2091.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.6,3.8,2.9,3.4,Manipur
2092.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.0,8.4,5.4,14.0,Manipur
2093.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),37.7,46.6,43.1,na,Manipur
2094.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),51.4,62.4,58.1,na,Manipur
2095.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),1.0,0.8,0.9,na,Manipur
2096.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),34.6,39.2,37.5,na,Manipur
2197.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,15.0,12.3,13.8,na,Mizoram
2200.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,16.4,14.3,15.4,na,Mizoram
2203.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,21.0,13.5,17.7,na,Mizoram
2206.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,28.7,21.1,25.2,na,Mizoram
2221.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),11.3,10.3,10.9,17.1,Mizoram
2222.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.9,0.4,0.7,2.1,Mizoram
2223.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.4,2.7,2.0,4.0,Mizoram
2224.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),56.6,68.5,61.6,na,Mizoram
2225.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),69.5,77.4,72.9,na,Mizoram
2226.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),1.0,0.8,0.9,na,Mizoram
2227.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),22.8,25.2,23.8,na,Mizoram
2328.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,9.3,9.2,9.3,na,Nagaland
2331.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,13.4,11.9,12.4,na,Nagaland
2334.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,19.9,23.6,22.4,na,Nagaland
2337.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,26.0,30.1,28.7,na,Nagaland
2352.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),5.2,7.0,6.4,13.1,Nagaland
2353.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,0.6,0.4,1.5,Nagaland
2354.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),2.4,1.3,1.6,7.6,Nagaland
2355.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),16.0,12.6,13.7,na,Nagaland
2356.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),47.4,48.9,48.4,na,Nagaland
2357.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),1.5,0.7,0.9,na,Nagaland
2358.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),26.8,22.5,24.0,na,Nagaland
2459.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,14.6,10.9,12.2,na,Sikkim
2462.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,16.2,15.5,15.7,na,Sikkim
2465.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,32.3,35.8,34.5,na,Sikkim
2468.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,38.6,43.1,41.6,na,Sikkim
2483.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),(13.1),11.7,12.1,2.6,Sikkim
2484.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),(0.4),2.4,1.9,0.4,Sikkim
2485.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),(3.2),3.1,3.2,1.4,Sikkim
2486.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),7.9,14.1,11.7,na,Sikkim
2487.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),38.0,43.3,41.3,na,Sikkim
2488.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),12.7,18.4,16.2,na,Sikkim
2489.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),37.6,41.1,39.8,na,Sikkim
2590.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,18.4,13.0,14.7,na,Telangana
2593.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,21.4,16.6,18.1,na,Telangana
2596.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,29.1,24.7,26.1,na,Telangana
2599.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,36.8,28.9,31.4,na,Telangana
2614.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),27.3,42.3,36.9,42.9,Telangana
2615.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,5.1,4.0,5.9,Telangana
2616.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.1,6.0,5.0,7.4,Telangana
2617.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),2.6,7.2,5.6,na,Telangana
2618.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),15.2,26.5,22.3,na,Telangana
2619.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),2.6,9.0,6.7,na,Telangana
2620.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),33.9,49.0,43.3,na,Telangana
2721.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,21.1,16.3,17.7,na,Tripura
2724.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,21.2,18.5,19.3,na,Tripura
2727.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,26.4,18.6,20.9,na,Tripura
2730.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,27.3,20.6,22.7,na,Tripura
2745.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),14.0,23.4,20.7,28.1,Tripura
2746.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.1,2.9,2.1,2.3,Tripura
2747.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.5,8.4,7.0,10.2,Tripura
2748.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),46.1,52.2,50.4,na,Tripura
2749.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),51.6,59.3,56.9,na,Tripura
2750.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.8,8.4,6.2,na,Tripura
2751.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),26.9,35.9,33.1,na,Tripura
2852.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,19.4,16.5,17.5,na,West Bengal
2855.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,23.1,20.4,21.3,na,West Bengal
2858.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,21.5,19.9,20.5,na,West Bengal
2861.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,22.3,19.0,20.1,na,West Bengal
2876.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.9,28.7,27.0,33.1,West Bengal
2877.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.3,4.0,3.5,5.0,West Bengal
2878.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),6.7,10.9,9.7,8.9,West Bengal
2879.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),8.0,12.3,10.8,na,West Bengal
2880.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),44.7,49.9,48.1,na,West Bengal
2881.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.8,1.3,1.1,na,West Bengal
2882.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),18.9,17.7,18.1,na,West Bengal
2983.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,16.3,12.3,13.5,na,India
2986.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,17.9,14.5,15.6,na,India
2989.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,23.6,20.2,21.3,na,India
2992.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,26.6,22.7,24.0,na,India
3007.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),24.2,31.6,29.3,31.2,India
3008.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,3.4,3.1,3.9,India
3009.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.1,1.6,1.5,1.5,India
3010.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),5.4,10.5,8.9,na,India
3011.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),28.8,42.7,38.0,na,India
3012.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.6,1.6,1.3,na,India
3013.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),16.5,19.9,18.8,na,India
3114.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,9.6,8.2,8.4,na,Arunachal Pradesh
3117.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,12.0,11.9,11.9,na,Arunachal Pradesh
3120.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,25.3,24.8,24.9,na,Arunachal Pradesh
3123.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,33.2,33.1,33.1,na,Arunachal Pradesh
3138.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),18.5,26.0,24.8,31.0,Arunachal Pradesh
3139.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.1,3.3,3.0,1.6,Arunachal Pradesh
3140.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.1,0.8,0.7,0.9,Arunachal Pradesh
3141.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),14.0,19.7,18.8,na,Arunachal Pradesh
3142.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),44.5,51.4,50.3,na,Arunachal Pradesh
3143.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),14.9,25.9,24.2,na,Arunachal Pradesh
3144.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),44.3,54.3,52.7,na,Arunachal Pradesh
3245.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,12.1,8.1,9.0,na,Chhattisgarh
3248.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,12.8,10.3,10.8,na,Chhattisgarh
3251.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,23.5,23.6,23.6,na,Chhattisgarh
3254.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,27.8,27.7,27.7,na,Chhattisgarh
3269.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),14.0,22.2,20.2,36.8,Chhattisgarh
3270.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.2,0.9,0.9,4.9,Chhattisgarh
3271.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.5,0.9,0.8,1.7,Chhattisgarh
3272.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),9.4,19.6,17.3,na,Chhattisgarh
3273.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),33.4,46.0,43.1,na,Chhattisgarh
3274.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),1.3,6.1,5.0,na,Chhattisgarh
3275.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),28.6,36.7,34.8,na,Chhattisgarh
3376.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,13.5,11.2,11.9,na,Haryana
3379.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,15.1,12.6,13.5,na,Haryana
3382.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,22.9,20.1,21.0,na,Haryana
3385.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,26.2,24.6,25.1,na,Haryana
3400.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),18.0,18.2,18.2,32.0,Haryana
3401.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,1.2,1.6,4.9,Haryana
3402.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.2,0.5,0.4,1.5,Haryana
3403.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),1.7,3.0,2.5,na,Haryana
3404.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),23.3,32.1,29.1,na,Haryana
3405.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.2,0.3,na,Haryana
3406.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),15.7,16.2,16.1,na,Haryana
3507.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,12.5,9.5,10.2,na,Jharkhand
3510.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,15.8,13.4,14.1,na,Jharkhand
3513.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,20.1,17.0,17.8,na,Jharkhand
3516.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,25.3,21.6,22.6,na,Jharkhand
3531.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),25.3,33.4,31.5,34.0,Jharkhand
3532.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,3.4,3.1,2.8,Jharkhand
3533.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.5,1.5,1.3,2.1,Jharkhand
3534.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),4.8,9.6,8.4,na,Jharkhand
3535.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),37.2,51.0,47.4,na,Jharkhand
3536.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),2.0,7.4,6.1,na,Jharkhand
3537.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),24.6,38.7,35.0,na,Jharkhand
3639.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,11.2,9.4,9.8,na,Madhya Pradesh
3642.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,13.1,11.9,12.2,na,Madhya Pradesh
3645.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,22.5,19.9,20.6,na,Madhya Pradesh
3648.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,25.9,21.5,22.7,na,Madhya Pradesh
3663.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),26.4,28.7,28.1,33.0,Madhya Pradesh
3664.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.8,2.1,2.3,3.3,Madhya Pradesh
3665.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.5,1.2,1.0,1.9,Madhya Pradesh
