S.No.,indicator code,Indicators,sub indicators,NFHS-5 (2019-20),Unnamed: 5,Unnamed: 6,NFHS-4 2015-16,STATE/UT
497.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,20.3,15.4,16.2,na,Bihar
500.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,16.6,15.8,15.9,na,Bihar
503.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,19.5,18.1,18.4,na,Bihar
518.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),40.6,39.9,40.0,43.7,Bihar
519.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.9,3.0,2.8,4.8,Bihar
520.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),7.1,8.5,8.3,14.2,Bihar
521.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),3.6,5.3,5.0,na,Bihar
522.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),40.3,50.7,48.8,na,Bihar
523.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.5,0.4,0.4,na,Bihar
524.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),14.0,15.8,15.5,na,Bihar
625.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,14.0,13.3,13.6,na,Dadra & Nagar Haveli and Daman & Diu
